gender,Name,Country,Birth,AwardYear,Category,Theme
male,Henry Dunant,Switzerland,1828,1901,Peace,for his humanitarian efforts to help wounded soldiers and create international understanding
male,Wilhelm Conrad Röntgen,Prussia,1845,1901,Physics,in recognition of the extraordinary services he has rendered by the discovery of the remarkable rays subsequently named after him
male,Jacobus H. van 't Hoff,the Netherlands,1852,1901,Chemistry,in recognition of the extraordinary services he has rendered by the discovery of the laws of chemical dynamics and osmotic pressure in solutions
male,Sully Prudhomme,France,1839,1901,Literature,"in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect"
male,Emil von Behring,Prussia,1854,1901,Physiology or Medicine,"for his work on serum therapy, especially its application against diphtheria, by which he has opened a new road in the domain of medical science and thereby placed in the hands of the physician a victorious weapon against illness and deaths"
male,Frédéric Passy,France,1822,1901,Peace,"for his lifelong work for international peace conferences, diplomacy and arbitration"
male,Ronald Ross,India,1857,1902,Physiology or Medicine,"for his work on malaria, by which he has shown how it enters the organism and thereby has laid the foundation for successful research on this disease and methods of combating it"
male,Albert Gobat,Switzerland,1843,1902,Peace,for his eminently practical administration of the Inter-Parliamentary Union
male,Pieter Zeeman,the Netherlands,1865,1902,Physics,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena
male,Hendrik A. Lorentz,the Netherlands,1853,1902,Physics,in recognition of the extraordinary service they rendered by their researches into the influence of magnetism upon radiation phenomena
male,Theodor Mommsen,Schleswig,1817,1902,Literature,"the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>"
male,Élie Ducommun,Switzerland,1833,1902,Peace,for his untiring and skilful directorship of the Bern Peace Bureau
male,Emil Fischer,Prussia,1852,1902,Chemistry,in recognition of the extraordinary services he has rendered by his work on sugar and purine syntheses
male,Randal Cremer,United Kingdom,1828,1903,Peace,for his longstanding and devoted effort in favour of the ideas of peace and arbitration
male,Henri Becquerel,France,1852,1903,Physics,in recognition of the extraordinary services he has rendered by his discovery of spontaneous radioactivity
male,Bjørnstjerne Bjørnson,Norway,1832,1903,Literature,"as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit"
female,Marie Curie,Russian Empire,1867,1903,Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel
male,Niels Ryberg Finsen,Faroe Islands (Denmark),1860,1903,Physiology or Medicine,"in recognition of his contribution to the treatment of diseases, especially lupus vulgaris, with concentrated light radiation, whereby he has opened a new avenue for medical science"
male,Svante Arrhenius,Sweden,1859,1903,Chemistry,in recognition of the extraordinary services he has rendered to the advancement of chemistry by his electrolytic theory of dissociation
male,Pierre Curie,France,1859,1903,Physics,in recognition of the extraordinary services they have rendered by their joint researches on the radiation phenomena discovered by Professor Henri Becquerel
male,Lord Rayleigh,United Kingdom,1842,1904,Physics,for his investigations of the densities of the most important gases and for his discovery of argon in connection with these studies
male,Frédéric Mistral,France,1830,1904,Literature,"in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist"
male,José Echegaray,Spain,1832,1904,Literature,"in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama"
male,Ivan Pavlov,Russia,1849,1904,Physiology or Medicine,"in recognition of his work on the physiology of digestion, through which knowledge on vital aspects of the subject has been transformed and enlarged"
male,Sir William Ramsay,Scotland,1852,1904,Chemistry,"in recognition of his services in the discovery of the inert gaseous elements in air, and his determination of their place in the periodic system"
male,Robert Koch,Germany,1843,1905,Physiology or Medicine,for his investigations and discoveries in relation to tuberculosis
male,Adolf von Baeyer,Prussia,1835,1905,Chemistry,"in recognition of his services in the advancement of organic chemistry and the chemical industry, through his work on organic dyes and hydroaromatic compounds"
female,Bertha von Suttner,Austrian Empire,1843,1905,Peace,for her audacity to oppose the horrors of war
male,Henryk Sienkiewicz,Poland,1846,1905,Literature,because of his outstanding merits as an epic writer
male,Philipp Lenard,Hungary,1862,1905,Physics,for his work on cathode rays
male,Giosuè Carducci,Tuscany,1835,1906,Literature,"not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces"
male,Theodore Roosevelt,USA,1858,1906,Peace,"for his role in bringing to an end the bloody war recently waged between two of the world's great powers, Japan and Russia"
male,Henri Moissan,France,1852,1906,Chemistry,"in recognition of the great services rendered by him in his investigation and isolation of the element fluorine, and for the adoption in the service of science of the electric furnace called after him"
male,Camillo Golgi,Italy,1843,1906,Physiology or Medicine,in recognition of their work on the structure of the nervous system
male,J.J. Thomson,United Kingdom,1856,1906,Physics,in recognition of the great merits of his theoretical and experimental investigations on the conduction of electricity by gases
male,Santiago Ramón y Cajal,Spain,1852,1906,Physiology or Medicine,in recognition of their work on the structure of the nervous system
male,Albert A. Michelson,Prussia,1852,1907,Physics,for his optical precision instruments and the spectroscopic and metrological investigations carried out with their aid
male,Louis Renault,France,1843,1907,Peace,for his decisive influence upon the conduct and outcome of the Hague and Geneva Conferences
male,Rudyard Kipling,British India,1865,1907,Literature,"in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author"
male,Eduard Buchner,Bavaria,1860,1907,Chemistry,for his biochemical researches and his discovery of cell-free fermentation
male,Alphonse Laveran,France,1845,1907,Physiology or Medicine,in recognition of his work on the role played by protozoa in causing diseases
male,Ernesto Teodoro Moneta,Austrian Empire,1833,1907,Peace,"for his work in the press and in peace meetings, both public and private, for an understanding between France and Italy"
male,Rudolf Eucken,East Friesland,1846,1908,Literature,"in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life"
male,Ilya Mechnikov,Russian Empire,1845,1908,Physiology or Medicine,in recognition of their work on immunity
male,Paul Ehrlich,Prussia,1854,1908,Physiology or Medicine,in recognition of their work on immunity
male,Fredrik Bajer,Denmark,1837,1908,Peace,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors"
male,Ernest Rutherford,New Zealand,1871,1908,Chemistry,"for his investigations into the disintegration of the elements, and the chemistry of radioactive substances"
male,Klas Pontus Arnoldson,Sweden,1844,1908,Peace,"for their long time work for the cause of peace as politicians, peace society leaders, orators and authors"
male,Gabriel Lippmann,Luxembourg,1845,1908,Physics,for his method of reproducing colours photographically based on the phenomenon of interference
male,Paul Henri d'Estournelles de Constant,France,1852,1909,Peace,for their prominent position in the international movement for peace and arbitration
female,Selma Lagerlöf,Sweden,1858,1909,Literature,"in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings"
male,Ferdinand Braun,Hesse-Kassel,1850,1909,Physics,in recognition of their contributions to the development of wireless telegraphy
male,Theodor Kocher,Switzerland,1841,1909,Physiology or Medicine,"for his work on the physiology, pathology and surgery of the thyroid gland"
male,Guglielmo Marconi,Italy,1874,1909,Physics,in recognition of their contributions to the development of wireless telegraphy
male,Wilhelm Ostwald,Russian Empire,1853,1909,Chemistry,in recognition of his work on catalysis and for his investigations into the fundamental principles governing chemical equilibria and rates of reaction
male,Auguste Beernaert,Belgium,1829,1909,Peace,for their prominent position in the international movement for peace and arbitration
male,Paul Heyse,Prussia,1830,1910,Literature,"as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories"
male,Johannes Diderik van der Waals,the Netherlands,1837,1910,Physics,for his work on the equation of state for gases and liquids
male,Otto Wallach,Germany,1847,1910,Chemistry,in recognition of his services to organic chemistry and the chemical industry by his pioneer work in the field of alicyclic compounds
male,Albrecht Kossel,Mecklenburg,1853,1910,Physiology or Medicine,"in recognition of the contributions to our knowledge of cell chemistry made through his work on proteins, including the nucleic substances"
male,Tobias Asser,the Netherlands,1838,1911,Peace,"for his role as co-founder of the Institut de droit international, initiator of the Conferences on International Private Law (Conférences de Droit international privé) at the Hague, and pioneer in the field of international legal relations"
male,Wilhelm Wien,Prussia,1864,1911,Physics,for his discoveries regarding the laws governing the radiation of heat
male,Allvar Gullstrand,Sweden,1862,1911,Physiology or Medicine,for his work on the dioptrics of the eye
male,Alfred Fried,Austria,1864,1911,Peace,"for his effort to expose and fight what he considers to be the main cause of war, namely, the anarchy in international relations"
male,Maurice Maeterlinck,Belgium,1862,1911,Literature,"in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations"
male,Elihu Root,USA,1845,1912,Peace,for bringing about better understanding between the countries of North and South America and initiating important arbitration agreements between the United States and other countries
male,Victor Grignard,France,1871,1912,Chemistry,"for the discovery of the so-called Grignard reagent, which in recent years has greatly advanced the progress of organic chemistry"
male,Paul Sabatier,France,1854,1912,Chemistry,for his method of hydrogenating organic compounds in the presence of finely disintegrated metals whereby the progress of organic chemistry has been greatly advanced in recent years
male,Gerhart Hauptmann,Prussia,1862,1912,Literature,"primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art"
male,Gustaf Dalén,Sweden,1869,1912,Physics,for his invention of automatic regulators for use in conjunction with gas accumulators for illuminating lighthouses and buoys
male,Alexis Carrel,France,1873,1912,Physiology or Medicine,in recognition of his work on vascular suture and the transplantation of blood vessels and organs
male,Henri La Fontaine,Belgium,1854,1913,Peace,for his unparalleled contribution to the organization of peaceful internationalism
male,Alfred Werner,France,1866,1913,Chemistry,in recognition of his work on the linkage of atoms in molecules by which he has thrown new light on earlier investigations and opened up new fields of research especially in inorganic chemistry
male,Rabindranath Tagore,India,1861,1913,Literature,"because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West"
male,Charles Richet,France,1850,1913,Physiology or Medicine,in recognition of his work on anaphylaxis
male,Heike Kamerlingh Onnes,the Netherlands,1853,1913,Physics,"for his investigations on the properties of matter at low temperatures which led, inter alia, to the production of liquid helium"
male,Theodore W. Richards,USA,1868,1914,Chemistry,in recognition of his accurate determinations of the atomic weight of a large number of chemical elements
male,Max von Laue,Germany,1879,1914,Physics,for his discovery of the diffraction of X-rays by crystals
male,Robert Bárány,Austria,1876,1914,Physiology or Medicine,for his work on the physiology and pathology of the vestibular apparatus
male,William Bragg,United Kingdom,1862,1915,Physics,for their services in the analysis of crystal structure by means of X-rays
